127.0.0.1, 2016-02-15 15:36:40, GET, /, HTTP/1.1, 200, 4.453000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:41, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:42, GET, /MoodlePlus/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:36:53, GET, /user/login, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-02-15 15:36:54, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:36:54, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:36:54, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
